SampleName,Phase_PSF,SampleNr,Accession,Domestication,Cat_treatment,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,GSL_leaf_analyis,C_N_Determination,Leave_samples_left_over_after_GSL_analysis,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_samples_left_over_after_GSL_analysis,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Gluconasturtiin ,L_Neoglucobrassicin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,L_N_content,L_C_content,L_C_N_ratio,L_Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,Root_Weight,Note_RootBiomass
C050,CP,50,DD,Wild,Co,,3,10,1,2,10,4,6,2,238,0,2,,,0,,0,1,,0,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C051,CP,51,DD,Wild,Co,,3,11,2,3,11,5,1,1,241,0,2,,,1,,0,0,,0,0,,,,,,,,,,,,8.2,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C052,CP,52,DD,Wild,Co,,3,12,2,3,12,5,6,1,285,0,2,,,1,,0,0,,0,0,,,,,,,,,,,,8.5,1.57,1.55,0.02,0.11,0,1.4,0.04,0,0.02,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C053,CP,53,DD,Wild,Co,,3,13,2,3,13,5,2,4,296,0,2,,,1,,0,0,,0,0,,,,,,,,,,,,9.8,0.19,0.18,0.01,0,0,0.18,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C054,CP,54,DD,Wild,Co,,3,14,2,3,14,6,1,4,316,0,2,,,0,,1,0,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C055,CP,55,DD,Wild,Co,,3,15,2,3,15,6,3,3,347,0,2,,,0,,1,1,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C056,CP,56,DD,Wild,Co,,3,16,2,4,16,7,3,4,372,0,2,,,0,,0,1,,1,0,,,,,,,,,,,too small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.3,3.36,0.57,3.11,0.04,0.09,0.04,0.08,0.08,0.22,0.27,0.36,NA,NA,NA,NA,too small,,,,,NA,NA,NA,NA,,,,
C057,CP,57,DD,Wild,Co,,3,17,2,4,17,7,2,3,391,0,2,,,0,,0,1,,1,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,14.05,7.72,5.75,6.39,0.28,0.05,0.17,0.83,0.31,5.17,0.27,0.59,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,,,,
C058,CP,58,DD,Wild,Co,,3,18,2,4,18,7,5,1,425,0,2,,,0,,0,1,,1,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,6.26,1.87,3.95,1.54,0.04,0.01,0.01,0.27,0.48,3.2,0.27,0.43,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,,,,
C059,CP,59,DD,Wild,Co,,3,19,2,4,19,8,5,3,451,0,2,,,0,,0,1,,1,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,2.94,1.31,1.32,1.04,0.05,0.08,0,0.14,0.22,1.1,0,0.31,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,,,,
