SampleName,SampleNr,Accession,Domestication,Treatment,TreatmentNr,PlantNr,Greenhouse,Table,block_n,Rows,Cols,Plots,Induction.Nr.CP,Induction.Nr.FP,Block_n,Rhizosphere_soil_analysis,GSL_Root_analysis,Root_samples_left_over_after_GSL_analysis,GSL_leaf_analyis,Leave_samples_left_over_after_GSL_analysis,notes_CP,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Neoglucobrassicin,L_Gluconasturtiin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival
C090,90,GO1,Cultivated,Co,5,10,1,2,10,5,4,236,0,1,10,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2.1,0.15,1.96,0.05,0,0.04,0,0.06,0.25,1.71,0,0,NA,NA,NA,NA,,NA,NA,NA,NA
C091,91,GO1,Cultivated,Co,5,11,2,3,11,4,3,255,0,1,11,0,0,0,1,0,Some trips damage observed,5.6,0.45,0.42,0.02,0,0,0.42,0,0,0.02,0,0,0,NA,NA,NA,NA,Some trips damage observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C092,92,GO1,Cultivated,Co,5,12,2,3,12,6,2,286,0,1,12,0,0,0,1,0,Some trips damage observed,7.3,0.77,0.74,0.03,0,0,0.74,0,0,0.02,0,0.01,0,NA,NA,NA,NA,Some trips damage observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C093,93,GO1,Cultivated,Co,5,13,2,3,13,5,3,307,0,1,13,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C094,94,GO1,Cultivated,Co,5,14,2,3,14,3,2,322,0,1,14,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C095,95,GO1,Cultivated,Co,5,15,2,3,15,6,3,359,0,1,15,1,1,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,1.22,0.06,1.05,0.01,0.01,0.01,0,0.03,0.08,0.97,0,0.1,NA,NA,NA,NA,,NA,NA,NA,NA
C096,96,GO1,Cultivated,Co,5,16,2,4,16,1,4,364,0,1,16,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C097,97,GO1,Cultivated,Co,5,17,2,4,17,6,4,408,0,1,17,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,1.03,0.08,0.91,0.03,0,0,0,0.05,0.1,0.57,0.24,0.05,NA,NA,NA,NA,,NA,NA,NA,NA
C098,98,GO1,Cultivated,Co,5,18,2,4,18,1,1,409,0,1,18,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C099,99,GO1,Cultivated,Co,5,19,2,4,19,4,4,448,0,1,19,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C100,100,GO1,Cultivated,Co,5,20,2,4,20,5,2,474,0,1,20,0,0,0,0,0,does not exist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C101,101,GO1,Cultivated,Mb,6,1,1,1,1,1,4,4,4,1,1,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.472,"Caterpillar weight is avaraged per plant, another file has weight per caterpillar; all weight are in mg",4,4
C102,102,GO1,Cultivated,Mb,6,2,1,1,2,2,2,30,4,1,2,0,0,0,1,0,,3.5,1.74,1.72,0.03,0,0,1.72,0,0,0.02,0,0.01,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74775,,4,4
C103,103,GO1,Cultivated,Mb,6,5,1,1,5,5,3,115,4,1,5,0,0,0,1,0,,5.4,0.8,0.51,0.29,0,0,0.51,0,0,0.29,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.582,,4,4
C104,104,GO1,Cultivated,Mb,6,6,1,2,6,3,3,131,4,1,6,1,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.239,,4,4
C105,105,GO1,Cultivated,Mb,6,7,1,2,7,6,3,167,4,1,7,1,0,1,1,0,,10.9,27.88,17.5,10.37,13.98,0,0.44,3.08,0,9.61,0,0.76,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479,,4,1
C106,106,GO1,Cultivated,Mb,6,3,1,1,3,4,1,61,4,1,3,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.65,0.45,0.16,0.4,0,0.01,0,0.04,0.04,0.05,0.07,0.04,NA,NA,NA,NA,,8.58975,,4,4
C107,107,GO1,Cultivated,Mb,6,4,1,1,4,1,1,73,4,1,4,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.218666667,,4,3
C108,108,GO1,Cultivated,Mb,6,8,1,2,8,5,2,186,4,1,8,0,0,0,0,1,"Plant was small, infested with Mb?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.544,,4,2
C109,109,GO1,Cultivated,Mb,6,9,1,2,9,2,4,200,4,1,9,0,0,0,0,0,"does not exist, plant had a weird growth form",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
C110,110,GO1,Cultivated,Mb,6,10,1,2,10,3,2,226,4,1,10,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,0.31,0.07,0.24,0.03,0.01,0.03,0,0,0.09,0.15,0,0,NA,NA,NA,NA,,7.547,,4,2
