SampleName,SampleNr,Accession,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,Leaf_Disk_GSL_Sample,C_N_Determination,Leftover_GSL_samples,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note_FP,GSL_Leaf_weight_mg,Total_GSL,Total_Aliphatic,Total_Indol,Progoitrin,Glucoraphanin,Sinigrin,Gluconapin,Glucoerucin,Glucobrassicin,Methoxy_glucobrassicin,Gluconasturtiin ,Neoglucobrassicin,X3MSOP,X5MSOP,X4.Pent,X4OHI3M,Note_GSL,N_content,C_content,C_N_ratio,Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,LnRR_Survival_PerBatch,LnRR,LnRR_Surv_Dom_PerBatch,LnRR_Surv_Dom,Root_Weight,Note_RootBiomass,Domestication
F082,82,GO1,Co,5,2,1,1,2,1,3,3,35,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,plant heavily damaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2475,,2,2,0,1,,,,,0.1603,,Cultivated
F102,102,GO1,Mb,6,2,1,1,2,1,2,2,30,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plant had (nearly) no damage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,0,,,Cultivated
F122,122,HE,Co,7,2,1,1,2,1,5,2,42,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.188,,2,1,1,0.5,,,,,0.6467,,Wild
F142,142,HE,Mb,8,2,1,1,2,1,1,2,26,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8255,,2,2,0,1,2,1.517241379,0.935817154,0.895013333,0.5578,,Wild
F162,162,HM,Co,9,2,1,1,2,1,2,4,32,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,number of caterpillar found in tubes did not equal number of caterpillar written down.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,0.7948,,Cultivated
F182,182,HM,Mb,10,2,1,1,2,1,6,3,47,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.794,,2,1,1,0.5,0.846153846,0.647058824,0.554677506,,0.8807,,Cultivated
F202,202,IT1,Co,11,2,1,1,2,1,5,3,43,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.089,,2,1,1,0.5,,,,,0.5373,,Cultivated
F222,222,IT1,Mb,12,2,1,1,2,1,5,4,44,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.458,,2,2,0,1,1.294117647,1.128205128,0.909370289,0.81729561,0.2317,,Cultivated
F242,242,KI,Co,13,2,1,1,2,1,6,4,48,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.384,,2,1,1,0.5,,,,,0.4261,,Wild
F262,262,KI,Mb,14,2,1,1,2,1,2,1,29,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Switched around with E128 before herbivore infestation because plant was very small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.625,,2,1,1,0.5,0.846153846,0.733333333,0.57360203,0.544463983,0.4562,,Wild
